Key,Source,Context,English

FuriousRamsayNPCTraderRoxy,entityclasses,Entity,Trader Roxy

cntFetchQuestSatchel,blocks,Quest,Satchel
cntFuriousRamsayBuriedChest,blocks,Quest,Black Shield Buried Chest

questFuriousRamsayStealTech,items,Quest,Black Shield Book
questFuriousRamsayStealTechDesc,items,Quest,A book you found in one of the Black Shield's stash.
questFuriousRamsayStealTechBackPack,items,Quest,Black Shield Backpack
questFuriousRamsayStealTechBackPackDesc,items,Quest,A backpack you dug out of the ground following directions off one of the Black Shield's maps.

qt_FuriousStealTechTier1,items,Quest,Black Shield Buried Tech Map (Tier 1)
qt_FuriousStealTechTier2,items,Quest,Black Shield Buried Tech Map (Tier 2)
qt_FuriousStealTechTier3,items,Quest,Black Shield Buried Tech Map (Tier 3)
qt_FuriousStealTechTier4,items,Quest,Black Shield Buried Tech Map (Tier 4)
qt_FuriousStealTechTier5,items,Quest,Black Shield Buried Tech Map (Tier 5)
qt_FuriousStealTechDesc,items,Quest,Location where the Black Shield buried their secret technology blueprints

qc_FuriousStealTechTier1,items,Quest,Black Shield Steal Tech Challenge (Tier 1)
qc_FuriousStealTechTier2,items,Quest,Black Shield Steal Tech Challenge (Tier 2)
qc_FuriousStealTechTier3,items,Quest,Black Shield Steal Tech Challenge (Tier 3)
qc_FuriousStealTechTier4,items,Quest,Black Shield Steal Tech Challenge (Tier 4)
qc_FuriousStealTechTier5,items,Quest,Black Shield Steal Tech Challenge (Tier 5)
qc_FuriousStealTechDesc,items,Quest,Challenge to bring back a clue to finding some Black Shield technology

qc_FuriousRamsayChallengeDesc,items,Quest - Challenge,A Challenge from the Trader's Network

qc_FuriousRamsayResetPOI,items,Quest - Challenge,POI Reset
qc_FuriousRamsayResetPOIDesc,quests,Quests,"This offer will reset the POI closest to you. This POI must be valid (can be used in quests)."

qc_FuriousRamsayFindNextTrader,items,Quest - Challenge,Trader Network Flyer
qc_FuriousRamsayFindNextTraderDesc,quests,Quests,"This Flyer has an address to a new Trader Network location."

quest_FuriousRamsayFindNextTrader_name,quests,Quests,"New Trader Network Location"
quest_FuriousRamsayFindNextTrader_subtitle,quests,Quests,"New Trader Network Location"
quest_FuriousRamsayFindNextTrader_description,quests,Quests,"Find a new Trader Network Location"
quest_FuriousRamsayFindNextTrader_title,quests,Quests,"Find a new Trader Network Location"
quest_FuriousRamsayFindNextTrader_offer,quests,Quests,"Hello fellow survivor!\n\nGot a bad case of the apocalypse? Have a bunch of useless items to trade or need that special weapon to help keep you safe?\n\nCome on down to one of our Trader Network locations and we'll get you all set up.\n\nBring a lot of money... our shit's expensive\n\nJoe"

quest_FuriousRamsayResetPOI_name,quests,Quests,"POI Reset"
quest_FuriousRamsayResetPOI_subtitle,quests,Quests,"Reset Closest POI"
quest_FuriousRamsayResetPOI_description,quests,Quests,"Reset the POI closest to you."
quest_FuriousRamsayResetPOI_title,quests,Quests,"Reset Closest POI"
quest_FuriousRamsayResetPOI_offer,quests,Quests,"This will create a rally point to reset the closest POI within range.\n\nThe POI has to be amongst the list of valid POIs for trader quests.\n\nThis is an item that can rarely be bought and has a probability of being given as a reward when completing the Horde Training challenge. The higher the tier, the higher the probability."

cntVendingMachineTrader,blocks,Container,Trader Network Challenges

FuriousRamsayBlackShieldCaptainLoot,entityclasses,Entity Info,Black Shield Backpack

FuriousRamsayUMABlackShieldBossTier1,entityclasses,Entity,Black Shield Bully
FuriousRamsayUMABlackShieldBossTier2,entityclasses,Entity,Black Shield Giant
FuriousRamsayUMABlackShieldBossTier3,entityclasses,Entity,Black Shield Mammoth
FuriousRamsayUMABlackShieldBossTier4,entityclasses,Entity,Black Shield Goliath
FuriousRamsayUMABlackShieldBossTier5,entityclasses,Entity,Black Shield Colossus

FuriousRamsayUMAJimSurvivor,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAEmmaSurvivor,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAMikeSurvivor,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAMariaSurvivor,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMARayahSurvivor,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAEarlSurvivor,entityclasses,Entity,Trader Network Citizen

FuriousRamsayUMAAidenEnemyTreasureTier1,entityclasses,Entity,Black Shield Bandit
FuriousRamsayUMAWillieEnemyTreasureTier1,entityclasses,Entity,Black Shield Bandit
