Key,File,Type,UsedInMainMenu,NoTranslate,english

survivalNote,items,Quest - Note,,,Note from The Trader Network
survivalNoteDesc,items,Quest - Note,,,"Yes, zombies. How? Rumor has it we tried to play god and created a deadly virus. I say bullshit, this ain't only a virus. There is no way it would have spread so fast. As for who you are, no clue, sorry."
tutorialTipQuest01_title,Journal Tip,,,,Undead Legacy
tutorialTipQuest01,Quest,Quest Info,,,"You wake up with a migraine and can't quite remember who you are or why you're in you're half naked in the middle of nowhere.\n\nYou have a bag on you. You should put it down and take a look at what's inside.\n\nMaybe there will be a clue to help you understand what is happening.\n\nInteresting... looks like you also kept a journal. Maybe you should check the entries once in a while."
ulmContainerBagStarter,items,Item,,,Debbie's Bag
ulmContainerBagStarterLoot,blocks,Container,,,Debbie's Bag
qc_NoteGroupDesc,items,Quest - Challenge,,,A strange note I found
qc_leftalive,items,Quest - Challenge,,,Left Alive (Debbie)
qc_startertools,items,Quest - Challenge,,,Starter Tools (Pat)
qc_startersupplies,items,Quest - Challenge,,,Starter Supplies (Pat)
qc_traderfetch01,items,Quest - Challenge,,,Retrieve Supplies (Trader Network)
qc_tradergohunting,items,Quest - Challenge,,,Go Hunting (Trader Network)
qc_traderclearhold01,items,Quest - Challenge,,,Hold and Fetch (Trader Network)
cntFetchQuestSatchel,blocks,Quest,,,Satchel
questBackpack01,items,Quest,,,Pat's Supplies
quest_checkstarterbag_subtitle,Quest,Quest Info,,,"Follow Advice (Main Quest)"
quest_checkstarterbag_description,Quest,Quest Info,,,"Someone has left me a bag with some supplies. Might as well take a look"
quest_basicsurvivalnote_title,Quest,Quest Info,,,"Hey you"
quest_basicsurvivalleftalive_subtitle,Quest,Quest Info,,,"Left Alive (Main Quest)"
quest_basicsurvivalleftalive_description,Quest,Quest Info,,,"A woman by the name of Debbie left me a note with tips and a bag of supplies. I need to start following her advice"
