Key,Source,Context,English

tutorialTipQuest01_title,Journal Tip,,Wake-up Call
tutorialTipQuest01,Journal Tip,,"You head hurts so bad. You thought you were safe but they caught you by surprise while you were sleeping. You grabbed whatever was close and fought them off as best you could, but you had to run. You don't even have clothes on you.\n\nThey should be far enough away for you to pause. You're hurt and really need to treat whatever injuries you can before they get worse.\n\nIt's just a matter of time before they find you again.\n\nThey won't leave you alone, and this time you're ready to stand and fight."

dialog_FuriousRamsaySurvivalSpecialist_statement_start,Quest,Dialogs,"Is it time for some training?"

dialog_FuriousRamsaySurvivalSpecialist1_statement_start,Quest,Dialogs,"You look like someone in need of some help"

dialog_FuriousRamsaySurvivalSpecialist1_response_whyhelpme,Quest,Dialogs,Why do you want to help me?
dialog_FuriousRamsaySurvivalSpecialist1_statement_whyhelpme,Quest,Dialogs,"Because you look lost my friend and lost in this place will get you killed. I specialize in helping people in need, call it a hobby if you will. Keeps me busy given the lack of entertainment."

dialog_FuriousRamsaySurvivalSpecialist1_response_findshelter,Quest,Dialogs,I need some shelter

dialog_FuriousRamsaySurvivalSpecialist1_response_questions,Quest,Dialogs,I have some questions
dialog_FuriousRamsaySurvivalSpecialist1_statement_questions,Quest,Dialogs,What would you like to know about?

dialog_FuriousRamsaySurvivalSpecialist1_statement_tasks,Quest,Dialogs,"Pick one of these locations and clear the place for us to start your training"

dialog_FuriousRamsaySurvivalSpecialist1_response_whatnow,Quest,Dialogs,Ok, so what now?
dialog_FuriousRamsaySurvivalSpecialist1_statement_whatnow,Quest,Dialogs,"Now you focus on getting yourself a good shelter. Pick on of my suggested locations and put down a bedroll there. Once secured, I'll set myself up there so we can begin your training."

dialog_FuriousRamsaySurvivalSpecialist1_statement_whatnow,Quest,Dialogs,"We stand against the Duke's will to take control over all trade. Don't be fooled by their looks. They are abusive and ruthless, you simply don't see what they don't want you to see. Be careful."

FuriousRamsaySpawnSurvivalSpecialist,blocks,Block,Survival Specialist
FuriousRamsaySpawnSurvivalSpecialistDesc,blocks,Block,"Summon the Survival Specialist.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not."

FuriousRamsayNPCSurvivalSpecialist1,entityclasses,Entity,Survival Specialist
FuriousRamsayNPCSurvivalSpecialist,entityclasses,Entity,Survival Specialist

