Key,Source,Context,English

FuriousRamsayZombieBoeToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieJoeToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieJanitorToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieArleneToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieLabToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieDarleneToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMarleneToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieYoToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSteveToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieAlexToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieCheerleaderToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieNurseToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieStripperToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSteveCrawlerToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSpiderToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFatCopToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFatHawaiianToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieBikerToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSoldierToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMaleHazmatToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFarmerToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMoeToxicBiome,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicBiome,entityclasses,Entity,Zombie (Toxic)

FuriousRamsayZombieFootballPlayerToxicFeralBiome,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieBoeToxicFeralBiome,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieJoeToxicFeralBiome,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieJanitorToxicFeralBiome,entityclasses,Entity,Feral Zombie (Toxic)
