Key,Source,Context,English

FuriousRamsayAllyDogTier1Biome,entityclasses,Entity,"Trader Network Mechanical Dog"
FuriousRamsayAllyWolfTier2Biome,entityclasses,Entity,"Trader Network Mechanical Wolf"
FuriousRamsayAllyLionTier3Biome,entityclasses,Entity,"Trader Network Mechanical Lion"
FuriousRamsayAllyBearTier4Biome,entityclasses,Entity,"Trader Network Mechanical Bear"
FuriousRamsayAllyNPCTier5Biome,entityclasses,Entity,"Trader Network Mechanical Android"

FuriousRamsayUMAJackBiome,entityclasses,Entity,Trader Network Commander
FuriousRamsayUMADanteBiome,entityclasses,Entity,Trader Network Commander
FuriousRamsayUMALeeBiome,entityclasses,Entity,Trader Network Commander

FuriousRamsayUMAJimSurvivorBiome,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAEmmaSurvivorBiome,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAMikeSurvivorBiome,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAMariaSurvivorBiome,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMARayahSurvivorBiome,entityclasses,Entity,Trader Network Citizen
FuriousRamsayUMAEarlSurvivorBiome,entityclasses,Entity,Trader Network Citizen
