Key,Source,Context,English

FuriousRamsayFarmerTraderNote,items,Quest,Summon Trader (Farmer)
FuriousRamsayFarmerTraderNoteDesc,items,Quest,"Instructions on how to summon the Farmer Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not.\n\n"
FuriousRamsayHandymanTraderNote,items,Quest,Summon Trader (Handyman)
FuriousRamsayHandymanTraderNoteDesc,items,Quest,"Instructions on how to summon the Handyman Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not.\n\n"
FuriousRamsayBlackShieldTraderNote,items,Quest,Summon Trader (Black Shield)
FuriousRamsayBlackShieldTraderNoteDesc,items,Quest,"Instructions on how to summon the Black Shield Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not.\n\n"

FuriousRamsayFarmerTrader,blocks,Block,Farmer Katie
FuriousRamsayFarmerTraderDesc,blocks,Block,"Summon the Farmer Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not."
FuriousRamsayHandymanTrader,blocks,Block,Handyman Luke
FuriousRamsayHandymanTraderDesc,blocks,Block,"Summon the Handyman Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not."
FuriousRamsayBlackShieldTrader,blocks,Block,Black Shield Trader
FuriousRamsayBlackShieldDesc,blocks,Block,"Summon the Black Shield Trader.\n\nFind an area of your choice, make sure it is clear.\n\nOnce summoned, stay put until they show up or they may simply not."

FuriousRamsayNPCBlackShieldTraderReward,entityclasses,Entity,Black Shield Trader
FuriousRamsayNPCFarmerKatieTraderReward,entityclasses,Entity,Farmer Katie
FuriousRamsayNPCHandymanLukeTraderReward,entityclasses,Entity,Handyman Luke

qc_FuriousRamsayFarmerTrader,items,Quest,Locate a Farmer Trader
qc_FuriousRamsayFarmerTraderDesc,items,Quest,Instructions leading you to the Farmer Trader

qc_FuriousRamsayHandymanTrader,items,Quest,Locate a Handyman Trader
qc_FuriousRamsayHandymanTraderDesc,items,Quest,Instructions leading you to the Handyman Trader

qc_FuriousRamsayBlackShieldTrader,items,Quest,Locate a Black Shield Trader
qc_FuriousRamsayBlackShieldTraderDesc,items,Quest,Instructions leading you to a Black Shield Trader

quest_FuriousRamsayPlaceFarmerTrader_subtitle,Quests,Quests,The Farmer Trader
quest_FuriousRamsayPlaceFarmerTrader_description,Quests,Quests,The Farmer Trader has agreed to work with you given you have completed 10 Tier 1 quests
quest_FuriousRamsayPlaceFarmerTrader_title,Quests,Quests,The Farmer Trader

quest_FuriousRamsayPlaceHandymanTrader_subtitle,Quests,Quests,The Handyman Trader
quest_FuriousRamsayPlaceHandymanTrader_description,Quests,Quests,The Handyman Trader has agreed to work with you given you have completed 10 Tier 2 quests
quest_FuriousRamsayPlaceHandymanTrader_title,Quests,Quests,The Handyman Trader

quest_FuriousRamsayPlaceBlackShieldTrader_subtitle,Quests,Quests,The Black Shield Trader
quest_FuriousRamsayPlaceBlackShieldTrader_description,Quests,Quests,The Black Shield Trader has agreed to work with you given you have completed 10 Tier 3 quests
quest_FuriousRamsayPlaceBlackShieldTrader_title,Quests,Quests,The Black Shield Trader
