Key,Source,Context,English

FuriousRamsayZombieBoeToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieJoeToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieJanitorToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieArleneToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieLabToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieDarleneToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMarleneToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieYoToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSteveToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieAlexToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieCheerleaderToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieNurseToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieStripperToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSteveCrawlerToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSpiderToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFatCopToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFatHawaiianToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieBikerToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieSoldierToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMaleHazmatToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFarmerToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieMoeToxicWandering,entityclasses,Entity,Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicWandering,entityclasses,Entity,Zombie (Toxic)

FuriousRamsayZombieFootballPlayerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieBoeToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieJoeToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieJanitorToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieArleneToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieLabToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieDarleneToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieMarleneToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieYoToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieSteveToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieAlexToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieCheerleaderToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieNurseToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieStripperToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieSteveCrawlerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieSpiderToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieFatCopToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieFatHawaiianToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieBikerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieSoldierToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieMaleHazmatToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieFarmerToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieMoeToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)
FuriousRamsayZombieWightToxicFeralWandering,entityclasses,Entity,Feral Zombie (Toxic)

FuriousRamsayZombieCheerleaderToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieBoeToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieJoeToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieJanitorToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieArleneToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieDarleneToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieMarleneToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieYoToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieSteveToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieAlexToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieSpiderToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieFatCopToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieBikerToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieSoldierToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieMoeToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)
FuriousRamsayZombieWightToxicRadiatedWandering,entityclasses,Entity,Radiated Zombie (Toxic)

FuriousRamsayZombieCheerleaderToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieBoeToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieJoeToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieJanitorToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieArleneToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieDarleneToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieMarleneToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieYoToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieSteveToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieSpiderToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieFatCopToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieBikerToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieSoldierToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieMoeToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)
FuriousRamsayZombieWightToxicAllFoursWandering,entityclasses,Entity,Crawling Radiated Zombie (Toxic)

FuriousRamsayZombieCheerleaderToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieBoeToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieJoeToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieJanitorToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
